espn_team_id,display_name,location,name,short_display_name,abbreviation,color,alternate_color,logo_url,league_id,id
2628,"TCU Horned Frogs",TCU,"Horned Frogs",TCU,TCU,4d1979,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,3,158
2633,"Tennessee Volunteers",Tennessee,Volunteers,Tennessee,TENN,ff8200,58595b,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,3,159
2636,"UTSA Roadrunners",UTSA,Roadrunners,UTSA,UTSA,002A5C,f47321,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,3,160
2638,"UTEP Miners",UTEP,Miners,UTEP,UTEP,ff8200,041e42,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,3,161
2641,"Texas Tech Red Raiders","Texas Tech","Red Raiders","Texas Tech",TTU,000000,da291c,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,3,162
2649,"Toledo Rockets",Toledo,Rockets,Toledo,TOL,0a2240,ffcd00,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,3,163
2653,"Troy Trojans",Troy,Trojans,Troy,TROY,AE0210,88898c,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,3,164
2655,"Tulane Green Wave",Tulane,"Green Wave",Tulane,TULN,006547,468ac9,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,3,165
2711,"Western Michigan Broncos","Western Michigan",Broncos,"W Michigan",WMU,532e1f,8b7f79,https://a.espncdn.com/i/teamlogos/ncaa/500/2711.png,3,166
2751,"Wyoming Cowboys",Wyoming,Cowboys,Wyoming,WYO,492f24,ffc425,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,3,167
1,"Atlanta Hawks",Atlanta,Hawks,Hawks,ATL,c8102e,fdb927,https://a.espncdn.com/i/teamlogos/nba/500/atl.png,2,168
2,"Boston Celtics",Boston,Celtics,Celtics,BOS,008348,ffffff,https://a.espncdn.com/i/teamlogos/nba/500/bos.png,2,169
3,"New Orleans Pelicans","New Orleans",Pelicans,Pelicans,NO,0a2240,b4975a,https://a.espncdn.com/i/teamlogos/nba/500/no.png,2,170
4,"Chicago Bulls",Chicago,Bulls,Bulls,CHI,ce1141,000000,https://a.espncdn.com/i/teamlogos/nba/500/chi.png,2,171
5,"Cleveland Cavaliers",Cleveland,Cavaliers,Cavaliers,CLE,860038,bc945c,https://a.espncdn.com/i/teamlogos/nba/500/cle.png,2,172
